id,BDD,type,img,DiameterByCircle,compactIndex,regularityIndex,regularityIndexPercentage,colorThreshold,nbColors,kurtosis,AssymetryByDistanceByCircle,roundness
0,PH2,Melanoma,IMD058.bmp,666,2.8631,0.0125,0.3498,1,2982.1603,61271565.9862,91.5459,0.8266
1,PH2,Melanoma,IMD061.bmp,954,3.3361,0.0117,0.3004,2,3431.241,70930180.4665,84.623,0.7114
2,PH2,Melanoma,IMD063.bmp,604,1.4163,0.0094,0.707,2,2555.8152,44495088.6034,90.9905,0.9116
3,PH2,Melanoma,IMD064.bmp,956,1.9625,0.0083,0.5106,2,2759.2682,6981128.0739,87.8028,0.9457
4,PH2,Melanoma,IMD065.bmp,792,2.3387,0.0102,0.4282,2,2723.5023,9533396.4914,80.9177,0.8979
5,PH2,Melanoma,IMD080.bmp,840,2.7416,0.0106,0.3647,2,2784.6085,12527973.6039,86.1352,0.8118
6,PH2,Melanoma,IMD085.bmp,750,6.2876,0.0215,0.1593,2,2757.3389,165485137.2156,80.6964,0.528
7,PH2,Melanoma,IMD088.bmp,576,2.6682,0.0142,0.3759,2,2455.6324,156344734.9078,90.6222,0.8728
8,PH2,Melanoma,IMD090.bmp,876,4.1128,0.0133,0.2433,3,2828.9797,35939481.274,90.5399,0.7452
9,PH2,Melanoma,IMD091.bmp,692,1.3103,0.0075,0.7655,2,3140.3287,52584483.0813,97.5176,0.9622
10,PH2,Melanoma,IMD168.bmp,482,1.4998,0.0118,0.6695,3,2852.3472,72456848.6067,94.5958,0.9375
11,PH2,Melanoma,IMD211.bmp,538,1.2965,0.0107,0.7753,3,2791.1464,121708721.9617,93.6843,0.9417
12,PH2,Melanoma,IMD219.bmp,858,3.253,0.0119,0.3076,3,3043.5792,24590058.3853,92.8282,0.8459
13,PH2,Melanoma,IMD240.bmp,754,3.5268,0.0157,0.2848,2,2791.6437,48310370.6268,78.5192,0.692
14,PH2,Melanoma,IMD242.bmp,474,2.2025,0.0149,0.4557,2,2533.7109,236100980.3081,91.4761,0.9046
15,PH2,Melanoma,IMD284.bmp,804,2.4489,0.01,0.4086,2,3286.0727,215976802.9238,83.9558,0.9009
16,PH2,Melanoma,IMD285.bmp,578,1.2721,0.0089,0.7868,1,2550.1303,347716196.628,94.7186,0.9765
17,PH2,Melanoma,IMD348.bmp,956,2.9066,0.0104,0.3446,2,2983.4515,6003415.6475,89.7597,0.8298
18,PH2,Melanoma,IMD349.bmp,646,2.5598,0.012,0.3923,2,3443.5243,87641293.9296,90.8981,0.8939
19,PH2,Melanoma,IMD403.bmp,680,2.74,0.0122,0.3654,3,2797.1219,126287139.4318,85.7525,0.7953
20,PH2,Melanoma,IMD404.bmp,796,5.9267,0.0184,0.169,3,2825.5354,123237647.4529,85.6112,0.6361
21,PH2,Melanoma,IMD405.bmp,362,1.335,0.0148,0.7532,2,3114.4084,720697494.2495,94.5032,0.9431
22,PH2,Melanoma,IMD406.bmp,510,1.6126,0.0117,0.6228,3,2501.0876,205035398.0869,92.4143,0.9205
23,PH2,Melanoma,IMD407.bmp,566,2.1217,0.0143,0.4737,2,3044.9838,140165143.4574,80.2842,0.8471
24,PH2,Melanoma,IMD408.bmp,802,1.8631,0.0083,0.5376,2,3428.8869,134544560.3919,99.2126,0.9379
25,PH2,Melanoma,IMD409.bmp,766,2.8749,0.0116,0.3484,2,3383.0149,92703119.4382,95.8785,0.9029
26,PH2,Melanoma,IMD410.bmp,732,4.5113,0.0162,0.2217,1,3284.3823,414177445.6862,82.0386,0.722
27,PH2,Melanoma,IMD411.bmp,672,2.0128,0.0108,0.499,2,2705.4523,6679457.9957,89.6076,0.8901
28,PH2,Melanoma,IMD413.bmp,880,4.6177,0.0141,0.2172,2,2975.9315,45996789.3648,87.6258,0.7347
29,PH2,Melanoma,IMD417.bmp,836,5.8071,0.0162,0.1726,2,2568.6049,72142197.0168,91.6317,0.7412
30,PH2,Melanoma,IMD418.bmp,790,3.2218,0.0121,0.3106,2,2955.8777,45662662.8333,93.9091,0.8094
31,PH2,Melanoma,IMD419.bmp,862,1.8114,0.008,0.5545,2,2766.2466,13646947.5462,86.4581,0.9173
32,PH2,Melanoma,IMD420.bmp,616,2.0433,0.0117,0.4916,2,3282.0033,288882422.2708,92.6033,0.8972
